,*1,*x,*y,*x^2,*x*y,*y^2,*x^3,*x^2*y,*x*y^2,*y^3
0,0,,,,,,,,,
1,6,,,,,,,,,
2,2*sqrt(3),,,,,,,,,
3, -8*sqrt(6),20*sqrt(6)*x,,,,,,,,
4, -18*sqrt(2),30*sqrt(2)*x, 30*sqrt(2)*y,,,,,,,
5,   -2*sqrt(30),2*sqrt(30)*x, 6*sqrt(30)*y,,,,,,,
6, 30*sqrt(2), -180*sqrt(2)*x,,210*sqrt(2)*x^2,,,,,,
7,   26*sqrt(6), -132*sqrt(6)*x, -48*sqrt(6)*y,126*sqrt(6)*x^2, 168*sqrt(6)*x*y,,,,,
8, 18*sqrt(10), -60*sqrt(10)*x, -96*sqrt(10)*y,42*sqrt(10)*x^2, 168*sqrt(10)*x*y,   84*sqrt(10)*y^2,,,,
9, 6*sqrt(14), -12*sqrt(14)*x,   -48*sqrt(14)*y,6*sqrt(14)*x^2, 48*sqrt(14)*x*y, 60*sqrt(14)*y^2,,,,
