,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,1/(2*sqrt(2)),,,,,,,,,,,,,,,,,,,
1,,(sqrt(3/2)*x)/2,,,,,,,,,,,,,,,,,,
2,,,(sqrt(3/2)*y)/2,,,,,,,,,,,,,,,,,
3,,,,(sqrt(3/2)*z)/2,,,,,,,,,,,,,,,,
4, -sqrt(5/2)/4,,,,(3*sqrt(5/2)*x^2)/4,,,,,,,,,,,,,,,
5,,,,,,(3*x*y)/(2*sqrt(2)),,,,,,,,,,,,,,
6,,,,,,,(3*x*z)/(2*sqrt(2)),,,,,,,,,,,,,
7, -sqrt(5/2)/4,,,,,,,(3*sqrt(5/2)*y^2)/4,,,,,,,,,,,,
8,,,,,,,,,(3*y*z)/(2*sqrt(2)),,,,,,,,,,,
9, -sqrt(5/2)/4,,,,,,,,,(3*sqrt(5/2)*z^2)/4,,,,,,,,,,
10,, (-3*sqrt(7/2)*x)/4,,,,,,,,,(5*sqrt(7/2)*x^3)/4,,,,,,,,,
11,,,   -(sqrt(15/2)*y)/4,,,,,,,,,(3*sqrt(15/2)*x^2*y)/4,,,,,,,,
12,,,, -(sqrt(15/2)*z)/4,,,,,,,,,(3*sqrt(15/2)*x^2*z)/4,,,,,,,
13,, -(sqrt(15/2)*x)/4,,,,,,,,,,,,(3*sqrt(15/2)*x*y^2)/4,,,,,,
14,,,,,,,,,,,,,,,(3*sqrt(3/2)*x*y*z)/2,,,,,
15,, -(sqrt(15/2)*x)/4,,,,,,,,,,,,,,(3*sqrt(15/2)*x*z^2)/4,,,,
16,,, (-3*sqrt(7/2)*y)/4,,,,,,,,,,,,,,(5*sqrt(7/2)*y^3)/4,,,
17,,,,   -(sqrt(15/2)*z)/4,,,,,,,,,,,,,,(3*sqrt(15/2)*y^2*z)/4,,
18,,, -(sqrt(15/2)*y)/4,,,,,,,,,,,,,,,,(3*sqrt(15/2)*y*z^2)/4,
19,,,, (-3*sqrt(7/2)*z)/4,,,,,,,,,,,,,,,,(5*sqrt(7/2)*z^3)/4
