,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,sqrt(3/2)/2,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4,,(3*sqrt(5/2)*x)/2,,,,,,,,,,,,,,,,,,
5,,,(3*y)/(2*sqrt(2)),,,,,,,,,,,,,,,,,
6,,,,(3*z)/(2*sqrt(2)),,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,
10,   (-3*sqrt(7/2))/4,,,,(15*sqrt(7/2)*x^2)/4,,,,,,,,,,,,,,,
11,,,,,,(3*sqrt(15/2)*x*y)/2,,,,,,,,,,,,,,
12,,,,,,,(3*sqrt(15/2)*x*z)/2,,,,,,,,,,,,,
13, -sqrt(15/2)/4,,,,,,,(3*sqrt(15/2)*y^2)/4,,,,,,,,,,,,
14,,,,,,,,,(3*sqrt(3/2)*y*z)/2,,,,,,,,,,,
15, -sqrt(15/2)/4,,,,,,,,,(3*sqrt(15/2)*z^2)/4,,,,,,,,,,
16,0,,,,,,,,,,,,,,,,,,,
17,0,,,,,,,,,,,,,,,,,,,
18,0,,,,,,,,,,,,,,,,,,,
19,0,,,,,,,,,,,,,,,,,,,
