,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,sqrt(3/2)/2,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5,,(3*x)/(2*sqrt(2)),,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,
7,,,(3*sqrt(5/2)*y)/2,,,,,,,,,,,,,,,,,
8,,,,(3*z)/(2*sqrt(2)),,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11, -sqrt(15/2)/4,,,,(3*sqrt(15/2)*x^2)/4,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,
13,,,,,,(3*sqrt(15/2)*x*y)/2,,,,,,,,,,,,,,
14,,,,,,,(3*sqrt(3/2)*x*z)/2,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,,,
16, (-3*sqrt(7/2))/4,,,,,,,(15*sqrt(7/2)*y^2)/4,,,,,,,,,,,,
17,,,,,,,,,(3*sqrt(15/2)*y*z)/2,,,,,,,,,,,
18, -sqrt(15/2)/4,,,,,,,,,(3*sqrt(15/2)*z^2)/4,,,,,,,,,,
19,0,,,,,,,,,,,,,,,,,,,
