,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,
3,sqrt(3/2)/2,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,
6,,(3*x)/(2*sqrt(2)),,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,
8,,,(3*y)/(2*sqrt(2)),,,,,,,,,,,,,,,,,
9,,,,(3*sqrt(5/2)*z)/2,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,
12, -sqrt(15/2)/4,,,,(3*sqrt(15/2)*x^2)/4,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,
14,,,,,,(3*sqrt(3/2)*x*y)/2,,,,,,,,,,,,,,
15,,,,,,,(3*sqrt(15/2)*x*z)/2,,,,,,,,,,,,,
16,0,,,,,,,,,,,,,,,,,,,
17, -sqrt(15/2)/4,,,,,,,(3*sqrt(15/2)*y^2)/4,,,,,,,,,,,,
18,,,,,,,,,(3*sqrt(15/2)*y*z)/2,,,,,,,,,,,
19, (-3*sqrt(7/2))/4,,,,,,,,,(15*sqrt(7/2)*z^2)/4,,,,,,,,,,
