,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,1,,,,,,,,,,,,,,,,,,,
1, -sqrt(2),3*sqrt(2)*x,,,,,,,,,,,,,,,,,,
2, -sqrt(6),sqrt(6)*x, 2*sqrt(6)*y,,,,,,,,,,,,,,,,,
3,,,,sqrt(3)*z,,,,,,,,,,,,,,,,
4, sqrt(3), -8*sqrt(3)*x,,,10*sqrt(3)*x^2,,,,,,,,,,,,,,,
5, 3, -18*x, -6*y,,15*x^2, 30*x*y,,,,,,,,,,,,,,
6,,,, -(sqrt(6)*z),,,3*sqrt(6)*x*z,,,,,,,,,,,,,
7,   sqrt(15), -2*sqrt(15)*x, -6*sqrt(15)*y,,sqrt(15)*x^2, 6*sqrt(15)*x*y,, 6*sqrt(15)*y^2,,,,,,,,,,,,
8,,,, -3*sqrt(2)*z,,,3*sqrt(2)*x*z,, 6*sqrt(2)*y*z,,,,,,,,,,,
9, -sqrt(5)/2,,,,,,,,,(3*sqrt(5)*z^2)/2,,,,,,,,,,
10, -2, 30*x,,, -90*x^2,,,,,,70*x^3,,,,,,,,,
11, -2*sqrt(3),   26*sqrt(3)*x, 4*sqrt(3)*y,, -66*sqrt(3)*x^2, -48*sqrt(3)*x*y,,,,,42*sqrt(3)*x^3, 84*sqrt(3)*x^2*y,,,,,,,,
12,,,, 3*z,,, -24*x*z,,,,,,30*x^2*z,,,,,,,
13, -2*sqrt(5), 18*sqrt(5)*x, 12*sqrt(5)*y,, -30*sqrt(5)*x^2,   -96*sqrt(5)*x*y,, -12*sqrt(5)*y^2,,,14*sqrt(5)*x^3, 84*sqrt(5)*x^2*y,, 84*sqrt(5)*x*y^2,,,,,,
14,,,,   3*sqrt(3)*z,,, -18*sqrt(3)*x*z,, -6*sqrt(3)*y*z,,,,15*sqrt(3)*x^2*z,, 30*sqrt(3)*x*y*z,,,,,
15,   sqrt(5/2), -3*sqrt(5/2)*x,,,,,,,, -3*sqrt(5/2)*z^2,,,,,,9*sqrt(5/2)*x*z^2,,,,
16, -2*sqrt(7), 6*sqrt(7)*x, 24*sqrt(7)*y,, -6*sqrt(7)*x^2, -48*sqrt(7)*x*y,,   -60*sqrt(7)*y^2,,,2*sqrt(7)*x^3, 24*sqrt(7)*x^2*y,,   60*sqrt(7)*x*y^2,,, 40*sqrt(7)*y^3,,,
17,,,, 3*sqrt(5)*z,,, -6*sqrt(5)*x*z,,   -18*sqrt(5)*y*z,,,,3*sqrt(5)*x^2*z,, 18*sqrt(5)*x*y*z,,, 18*sqrt(5)*y^2*z,,
18, sqrt(15/2), -(sqrt(15/2)*x), -(sqrt(30)*y),,,,,,, -3*sqrt(15/2)*z^2,,,,,,3*sqrt(15/2)*x*z^2,,,   3*sqrt(30)*y*z^2,
19,,,, (-3*sqrt(7)*z)/2,,,,,,,,,,,,,,,,(5*sqrt(7)*z^3)/2
