,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,3*sqrt(2),,,,,,,,,,,,,,,,,,,
2,sqrt(6),,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4, -8*sqrt(3),20*sqrt(3)*x,,,,,,,,,,,,,,,,,,
5, -18,30*x, 30*y,,,,,,,,,,,,,,,,,
6,,,,3*sqrt(6)*z,,,,,,,,,,,,,,,,
7, -2*sqrt(15),2*sqrt(15)*x, 6*sqrt(15)*y,,,,,,,,,,,,,,,,,
8,,,,3*sqrt(2)*z,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,
10, 30, -180*x,,,210*x^2,,,,,,,,,,,,,,,
11,   26*sqrt(3), -132*sqrt(3)*x, -48*sqrt(3)*y,,126*sqrt(3)*x^2, 168*sqrt(3)*x*y,,,,,,,,,,,,,,
12,,,, -24*z,,,60*x*z,,,,,,,,,,,,,
13, 18*sqrt(5),   -60*sqrt(5)*x, -96*sqrt(5)*y,,42*sqrt(5)*x^2, 168*sqrt(5)*x*y,, 84*sqrt(5)*y^2,,,,,,,,,,,,
14,,,, -18*sqrt(3)*z,,,30*sqrt(3)*x*z,, 30*sqrt(3)*y*z,,,,,,,,,,,
15, -3*sqrt(5/2),,,,,,,,,9*sqrt(5/2)*z^2,,,,,,,,,,
16, 6*sqrt(7),   -12*sqrt(7)*x, -48*sqrt(7)*y,,6*sqrt(7)*x^2, 48*sqrt(7)*x*y,, 60*sqrt(7)*y^2,,,,,,,,,,,,
17,,,, -6*sqrt(5)*z,,,6*sqrt(5)*x*z,, 18*sqrt(5)*y*z,,,,,,,,,,,
18, -sqrt(15/2),,,,,,,,,3*sqrt(15/2)*z^2,,,,,,,,,,
19,0,,,,,,,,,,,,,,,,,,,
