,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,2*sqrt(6),,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5, -6,30*x,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,
7, -6*sqrt(15),6*sqrt(15)*x, 12*sqrt(15)*y,,,,,,,,,,,,,,,,,
8,,,,6*sqrt(2)*z,,,,,,,,,,,,,,,,
9,0,,,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11, 4*sqrt(3), -48*sqrt(3)*x,,,84*sqrt(3)*x^2,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,
13, 12*sqrt(5), -96*sqrt(5)*x, -24*sqrt(5)*y,,84*sqrt(5)*x^2, 168*sqrt(5)*x*y,,,,,,,,,,,,,,
14,,,, -6*sqrt(3)*z,,,30*sqrt(3)*x*z,,,,,,,,,,,,,
15,0,,,,,,,,,,,,,,,,,,,
16, 24*sqrt(7),   -48*sqrt(7)*x, -120*sqrt(7)*y,,24*sqrt(7)*x^2, 120*sqrt(7)*x*y,, 120*sqrt(7)*y^2,,,,,,,,,,,,
17,,,, -18*sqrt(5)*z,,,18*sqrt(5)*x*z,, 36*sqrt(5)*y*z,,,,,,,,,,,
18, -sqrt(30),,,,,,,,,3*sqrt(30)*z^2,,,,,,,,,,
19,0,,,,,,,,,,,,,,,,,,,
