,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,
3,sqrt(3),,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,
6, -sqrt(6),3*sqrt(6)*x,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,
8, -3*sqrt(2),3*sqrt(2)*x, 6*sqrt(2)*y,,,,,,,,,,,,,,,,,
9,,,,3*sqrt(5)*z,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,
12, 3, -24*x,,,30*x^2,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,
14, 3*sqrt(3), -18*sqrt(3)*x,   -6*sqrt(3)*y,,15*sqrt(3)*x^2, 30*sqrt(3)*x*y,,,,,,,,,,,,,,
15,,,, -3*sqrt(10)*z,,,9*sqrt(10)*x*z,,,,,,,,,,,,,
16,0,,,,,,,,,,,,,,,,,,,
17,   3*sqrt(5), -6*sqrt(5)*x, -18*sqrt(5)*y,,3*sqrt(5)*x^2, 18*sqrt(5)*x*y,, 18*sqrt(5)*y^2,,,,,,,,,,,,
18,,,, -3*sqrt(30)*z,,,3*sqrt(30)*x*z,, 6*sqrt(30)*y*z,,,,,,,,,,,
19, (-3*sqrt(7))/2,,,,,,,,,(15*sqrt(7)*z^2)/2,,,,,,,,,,
