,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,sqrt(3)/2,,,,,,,,,,,,,,,,,,,
1,,(sqrt(15)*x)/2,,,,,,,,,,,,,,,,,,
2,,,(sqrt(15)*y)/2,,,,,,,,,,,,,,,,,
3, -sqrt(5)/2,,,2*sqrt(5)*z,,,,,,,,,,,,,,,,
4, -7*sqrt(7/181),,, 10*sqrt(7/181)*z,(45*sqrt(7/181)*x^2)/2,,,,,,,,,,,,,,,
5,,,,,,(3*sqrt(7)*x*y)/2,,,,,,,,,,,,,,
6,, -(sqrt(21)*x)/2,,,,,3*sqrt(21)*x*z,,,,,,,,,,,,,
7,   -21*sqrt(10/2353),,, 30*sqrt(10/2353)*z,(-3*sqrt(5/4706)*x^2)/4,,, (3*sqrt(905/26)*y^2)/4,,,,,,,,,,,,
8,,, -(sqrt(21)*y)/2,,,,,,3*sqrt(21)*y*z,,,,,,,,,,,
9, (7*sqrt(5/26))/2,,,   -31*sqrt(5/26)*z,(-3*sqrt(5/26)*x^2)/4,,, (-3*sqrt(5/26)*y^2)/4,, (7*sqrt(65/2)*z^2)/2,,,,,,,,,,
10,, (-243*x)/(2*sqrt(451)),,,,,   (189*x*z)/sqrt(451),,,,(210*x^3)/sqrt(451),,,,,,,,,
11,,, (-27*sqrt(15/349)*y)/2,,,,,, 21*sqrt(15/349)*y*z,,,42*sqrt(15/349)*x^2*y,,,,,,,,
12, 3*sqrt(15/67),,,   -26*sqrt(15/67)*z, (-21*sqrt(15/67)*x^2)/2,,,,, 28*sqrt(15/67)*z^2,,,84*sqrt(15/67)*x^2*z,,,,,,,
13,,   -162*sqrt(70/237677)*x,,,,, 252*sqrt(70/237677)*x*z,,,,(-15*sqrt(35/475354)*x^3)/4,,,   (9*sqrt(15785/1054)*x*y^2)/4,,,,,,
14,,,,,, (-9*x*y)/2,,,,,,,,,36*x*y*z,,,,,
15,, (207*x)/(2*sqrt(1054)),,,,, (-1215*x*z)/sqrt(1054),,,,(-105*x^3)/(4*sqrt(1054)),,, (-45*x*y^2)/(4*sqrt(1054)),,   (9*sqrt(527/2)*x*z^2)/2,,,,
16,,, -378*sqrt(42/183923)*y,,,,,,   588*sqrt(42/183923)*y*z,,,(-15*sqrt(21/367846)*x^2*y)/4,,,,, (15*sqrt(7329/1054)*y^3)/4,,,
17,   21*sqrt(30/6901),,, -182*sqrt(30/6901)*z, (15*sqrt(15/13802)*x^2)/4,,,   (-9*sqrt(1005/206)*y^2)/4,, 196*sqrt(30/6901)*z^2,,,-15*sqrt(30/6901)*x^2*z,,,,, 9*sqrt(2010/103)*y^2*z,,
18,,, (207*y)/(2*sqrt(1054)),,,,,, (-1215*y*z)/sqrt(1054),,,(-45*x^2*y)/(4*sqrt(1054)),,,,, (-105*y^3)/(4*sqrt(1054)),,   (9*sqrt(527/2)*y*z^2)/2,
19, -57/(2*sqrt(206)),,,   (453*z)/sqrt(206), (45*x^2)/(4*sqrt(206)),,,   (45*y^2)/(4*sqrt(206)),, (-2901*z^2)/(2*sqrt(206)),,,-45*sqrt(2/103)*x^2*z,,,,, -45*sqrt(2/103)*y^2*z,, 6*sqrt(206)*z^3
