,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,sqrt(15)/2,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4,,45*sqrt(7/181)*x,,,,,,,,,,,,,,,,,,
5,,,(3*sqrt(7)*y)/2,,,,,,,,,,,,,,,,,
6, -sqrt(21)/2,,,3*sqrt(21)*z,,,,,,,,,,,,,,,,
7,,(-3*sqrt(5/4706)*x)/2,,,,,,,,,,,,,,,,,,
8,0,,,,,,,,,,,,,,,,,,,
9,,(-3*sqrt(5/26)*x)/2,,,,,,,,,,,,,,,,,,
10,   -243/(2*sqrt(451)),,, (189*z)/sqrt(451),(630*x^2)/sqrt(451),,,,,,,,,,,,,,,
11,,,,,,84*sqrt(15/349)*x*y,,,,,,,,,,,,,,
12,, -21*sqrt(15/67)*x,,,,,168*sqrt(15/67)*x*z,,,,,,,,,,,,,
13, -162*sqrt(70/237677),,, 252*sqrt(70/237677)*z,(-45*sqrt(35/475354)*x^2)/4,,,   (9*sqrt(15785/1054)*y^2)/4,,,,,,,,,,,,
14,,, (-9*y)/2,,,,,,36*y*z,,,,,,,,,,,
15, 207/(2*sqrt(1054)),,, (-1215*z)/sqrt(1054),(-315*x^2)/(4*sqrt(1054)),,, (-45*y^2)/(4*sqrt(1054)),,   (9*sqrt(527/2)*z^2)/2,,,,,,,,,,
16,,,,,,(-15*sqrt(21/367846)*x*y)/2,,,,,,,,,,,,,,
17,,   (15*sqrt(15/13802)*x)/2,,,,,-30*sqrt(30/6901)*x*z,,,,,,,,,,,,,
18,,,,,,(-45*x*y)/(2*sqrt(1054)),,,,,,,,,,,,,,
19,, (45*x)/(2*sqrt(206)),,,,,-90*sqrt(2/103)*x*z,,,,,,,,,,,,,
