,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,sqrt(15)/2,,,,,,,,,,,,,,,,,,,
3,0,,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5,,(3*sqrt(7)*x)/2,,,,,,,,,,,,,,,,,,
6,0,,,,,,,,,,,,,,,,,,,
7,,,(3*sqrt(905/26)*y)/2,,,,,,,,,,,,,,,,,
8, -sqrt(21)/2,,,3*sqrt(21)*z,,,,,,,,,,,,,,,,
9,,,(-3*sqrt(5/26)*y)/2,,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11, (-27*sqrt(15/349))/2,,, 21*sqrt(15/349)*z,42*sqrt(15/349)*x^2,,,,,,,,,,,,,,,
12,0,,,,,,,,,,,,,,,,,,,
13,,,,,,(9*sqrt(15785/1054)*x*y)/2,,,,,,,,,,,,,,
14,, (-9*x)/2,,,,,36*x*z,,,,,,,,,,,,,
15,,,,,,(-45*x*y)/(2*sqrt(1054)),,,,,,,,,,,,,,
16, -378*sqrt(42/183923),,, 588*sqrt(42/183923)*z,(-15*sqrt(21/367846)*x^2)/4,,,   (45*sqrt(7329/1054)*y^2)/4,,,,,,,,,,,,
17,,, (-9*sqrt(1005/206)*y)/2,,,,,,18*sqrt(2010/103)*y*z,,,,,,,,,,,
18, 207/(2*sqrt(1054)),,,   (-1215*z)/sqrt(1054),(-45*x^2)/(4*sqrt(1054)),,, (-315*y^2)/(4*sqrt(1054)),, (9*sqrt(527/2)*z^2)/2,,,,,,,,,,
19,,, (45*y)/(2*sqrt(206)),,,,,,-90*sqrt(2/103)*y*z,,,,,,,,,,,
