,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,
3,2*sqrt(5),,,,,,,,,,,,,,,,,,,
4,10*sqrt(7/181),,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,
6,,3*sqrt(21)*x,,,,,,,,,,,,,,,,,,
7,30*sqrt(10/2353),,,,,,,,,,,,,,,,,,,
8,,,3*sqrt(21)*y,,,,,,,,,,,,,,,,,
9, -31*sqrt(5/26),,,7*sqrt(65/2)*z,,,,,,,,,,,,,,,,
10,,(189*x)/sqrt(451),,,,,,,,,,,,,,,,,,
11,,,21*sqrt(15/349)*y,,,,,,,,,,,,,,,,,
12, -26*sqrt(15/67),,,   56*sqrt(15/67)*z,84*sqrt(15/67)*x^2,,,,,,,,,,,,,,,
13,,252*sqrt(70/237677)*x,,,,,,,,,,,,,,,,,,
14,,,,,,36*x*y,,,,,,,,,,,,,,
15,, (-1215*x)/sqrt(1054),,,,,9*sqrt(527/2)*x*z,,,,,,,,,,,,,
16,,,588*sqrt(42/183923)*y,,,,,,,,,,,,,,,,,
17,   -182*sqrt(30/6901),,, 392*sqrt(30/6901)*z,-15*sqrt(30/6901)*x^2,,, 9*sqrt(2010/103)*y^2,,,,,,,,,,,,
18,,, (-1215*y)/sqrt(1054),,,,,,9*sqrt(527/2)*y*z,,,,,,,,,,,
19, 453/sqrt(206),,,   (-2901*z)/sqrt(206),-45*sqrt(2/103)*x^2,,, -45*sqrt(2/103)*y^2,, 18*sqrt(206)*z^2,,,,,,,,,,
