,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,sqrt(6),,,,,,,,,,,,,,,,,,,
1, -sqrt(10),4*sqrt(10)*x,,,,,,,,,,,,,,,,,,
2,   -2*sqrt(5),2*sqrt(5)*x, 6*sqrt(5)*y,,,,,,,,,,,,,,,,,
3, -2*sqrt(15),2*sqrt(15)*x, 2*sqrt(15)*y, 4*sqrt(15)*z,,,,,,,,,,,,,,,,
4, sqrt(14), -10*sqrt(14)*x,,,15*sqrt(14)*x^2,,,,,,,,,,,,,,,
5, 2*sqrt(7), -14*sqrt(7)*x, -6*sqrt(7)*y,,12*sqrt(7)*x^2, 36*sqrt(7)*x*y,,,,,,,,,,,,,,
6, 2*sqrt(21), -14*sqrt(21)*x,   -2*sqrt(21)*y, -4*sqrt(21)*z,12*sqrt(21)*x^2, 12*sqrt(21)*x*y, 24*sqrt(21)*x*z,,,,,,,,,,,,,
7, sqrt(42),   -2*sqrt(42)*x, -8*sqrt(42)*y,,sqrt(42)*x^2, 8*sqrt(42)*x*y,, 10*sqrt(42)*y^2,,,,,,,,,,,,
8,   3*sqrt(14), -6*sqrt(14)*x, -18*sqrt(14)*y, -6*sqrt(14)*z,3*sqrt(14)*x^2, 18*sqrt(14)*x*y, 6*sqrt(14)*x*z,   15*sqrt(14)*y^2, 30*sqrt(14)*y*z,,,,,,,,,,,
9, sqrt(210),   -2*sqrt(210)*x, -2*sqrt(210)*y, -6*sqrt(210)*z,sqrt(210)*x^2, 2*sqrt(210)*x*y, 6*sqrt(210)*x*z, sqrt(210)*y^2, 6*sqrt(210)*y*z,   6*sqrt(210)*z^2,,,,,,,,,,
10, -3*sqrt(2), 54*sqrt(2)*x,,, -189*sqrt(2)*x^2,,,,,,168*sqrt(2)*x^3,,,,,,,,,
11, -6, 90*x, 18*y,, -252*x^2, -252*x*y,,,,,168*x^3, 504*x^2*y,,,,,,,,
12,   -6*sqrt(3), 90*sqrt(3)*x, 6*sqrt(3)*y, 12*sqrt(3)*z, -252*sqrt(3)*x^2,   -84*sqrt(3)*x*y, -168*sqrt(3)*x*z,,,,168*sqrt(3)*x^3, 168*sqrt(3)*x^2*y, 336*sqrt(3)*x^2*z,,,,,,,
13, -3*sqrt(6), 30*sqrt(6)*x,   24*sqrt(6)*y,, -51*sqrt(6)*x^2, -216*sqrt(6)*x*y,, -30*sqrt(6)*y^2,,,24*sqrt(6)*x^3, 192*sqrt(6)*x^2*y,,   240*sqrt(6)*x*y^2,,,,,,
14, -9*sqrt(2), 90*sqrt(2)*x, 54*sqrt(2)*y, 18*sqrt(2)*z, -153*sqrt(2)*x^2,   -486*sqrt(2)*x*y, -162*sqrt(2)*x*z, -45*sqrt(2)*y^2,   -90*sqrt(2)*y*z,,72*sqrt(2)*x^3, 432*sqrt(2)*x^2*y,   144*sqrt(2)*x^2*z, 360*sqrt(2)*x*y^2, 720*sqrt(2)*x*y*z,,,,,
15,   -3*sqrt(30), 30*sqrt(30)*x, 6*sqrt(30)*y, 18*sqrt(30)*z, -51*sqrt(30)*x^2, -54*sqrt(30)*x*y, -162*sqrt(30)*x*z, -3*sqrt(30)*y^2,   -18*sqrt(30)*y*z, -18*sqrt(30)*z^2,24*sqrt(30)*x^3, 48*sqrt(30)*x^2*y, 144*sqrt(30)*x^2*z,   24*sqrt(30)*x*y^2, 144*sqrt(30)*x*y*z,   144*sqrt(30)*x*z^2,,,,
16, -6*sqrt(2), 18*sqrt(2)*x, 90*sqrt(2)*y,, -18*sqrt(2)*x^2, -180*sqrt(2)*x*y,,   -270*sqrt(2)*y^2,,,6*sqrt(2)*x^3, 90*sqrt(2)*x^2*y,,   270*sqrt(2)*x*y^2,,, 210*sqrt(2)*y^3,,,
17, -6*sqrt(6),   18*sqrt(6)*x, 78*sqrt(6)*y, 12*sqrt(6)*z, -18*sqrt(6)*x^2, -156*sqrt(6)*x*y, -24*sqrt(6)*x*z, -198*sqrt(6)*y^2,   -144*sqrt(6)*y*z,,6*sqrt(6)*x^3, 78*sqrt(6)*x^2*y, 12*sqrt(6)*x^2*z,   198*sqrt(6)*x*y^2, 144*sqrt(6)*x*y*z,, 126*sqrt(6)*y^3, 252*sqrt(6)*y^2*z,,
18,   -6*sqrt(10), 18*sqrt(10)*x, 54*sqrt(10)*y, 36*sqrt(10)*z, -18*sqrt(10)*x^2, -108*sqrt(10)*x*y, -72*sqrt(10)*x*z, -90*sqrt(10)*y^2,   -288*sqrt(10)*y*z, -36*sqrt(10)*z^2,6*sqrt(10)*x^3, 54*sqrt(10)*x^2*y, 36*sqrt(10)*x^2*z,   90*sqrt(10)*x*y^2, 288*sqrt(10)*x*y*z,   36*sqrt(10)*x*z^2, 42*sqrt(10)*y^3,   252*sqrt(10)*y^2*z, 252*sqrt(10)*y*z^2,
19,   -6*sqrt(14), 18*sqrt(14)*x,   18*sqrt(14)*y, 72*sqrt(14)*z,   -18*sqrt(14)*x^2, -36*sqrt(14)*x*y, -144*sqrt(14)*x*z, -18*sqrt(14)*y^2, -144*sqrt(14)*y*z, -180*sqrt(14)*z^2,6*sqrt(14)*x^3, 18*sqrt(14)*x^2*y, 72*sqrt(14)*x^2*z, 18*sqrt(14)*x*y^2, 144*sqrt(14)*x*y*z,   180*sqrt(14)*x*z^2, 6*sqrt(14)*y^3,   72*sqrt(14)*y^2*z, 180*sqrt(14)*y*z^2, 120*sqrt(14)*z^3
