,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,4*sqrt(10),,,,,,,,,,,,,,,,,,,
2,2*sqrt(5),,,,,,,,,,,,,,,,,,,
3,2*sqrt(15),,,,,,,,,,,,,,,,,,,
4, -10*sqrt(14),30*sqrt(14)*x,,,,,,,,,,,,,,,,,,
5, -14*sqrt(7),24*sqrt(7)*x, 36*sqrt(7)*y,,,,,,,,,,,,,,,,,
6, -14*sqrt(21),24*sqrt(21)*x, 12*sqrt(21)*y,   24*sqrt(21)*z,,,,,,,,,,,,,,,,
7, -2*sqrt(42),2*sqrt(42)*x, 8*sqrt(42)*y,,,,,,,,,,,,,,,,,
8, -6*sqrt(14),6*sqrt(14)*x, 18*sqrt(14)*y, 6*sqrt(14)*z,,,,,,,,,,,,,,,,
9, -2*sqrt(210),2*sqrt(210)*x, 2*sqrt(210)*y, 6*sqrt(210)*z,,,,,,,,,,,,,,,,
10, 54*sqrt(2), -378*sqrt(2)*x,,,504*sqrt(2)*x^2,,,,,,,,,,,,,,,
11, 90, -504*x, -252*y,,504*x^2, 1008*x*y,,,,,,,,,,,,,,
12,   90*sqrt(3), -504*sqrt(3)*x, -84*sqrt(3)*y, -168*sqrt(3)*z,504*sqrt(3)*x^2, 336*sqrt(3)*x*y,   672*sqrt(3)*x*z,,,,,,,,,,,,,
13, 30*sqrt(6), -102*sqrt(6)*x, -216*sqrt(6)*y,,72*sqrt(6)*x^2, 384*sqrt(6)*x*y,,   240*sqrt(6)*y^2,,,,,,,,,,,,
14,   90*sqrt(2), -306*sqrt(2)*x, -486*sqrt(2)*y, -162*sqrt(2)*z,216*sqrt(2)*x^2, 864*sqrt(2)*x*y, 288*sqrt(2)*x*z,   360*sqrt(2)*y^2, 720*sqrt(2)*y*z,,,,,,,,,,,
15, 30*sqrt(30),   -102*sqrt(30)*x, -54*sqrt(30)*y, -162*sqrt(30)*z,72*sqrt(30)*x^2, 96*sqrt(30)*x*y, 288*sqrt(30)*x*z, 24*sqrt(30)*y^2, 144*sqrt(30)*y*z,   144*sqrt(30)*z^2,,,,,,,,,,
16, 18*sqrt(2), -36*sqrt(2)*x,   -180*sqrt(2)*y,,18*sqrt(2)*x^2, 180*sqrt(2)*x*y,, 270*sqrt(2)*y^2,,,,,,,,,,,,
17, 18*sqrt(6), -36*sqrt(6)*x,   -156*sqrt(6)*y, -24*sqrt(6)*z,18*sqrt(6)*x^2, 156*sqrt(6)*x*y,   24*sqrt(6)*x*z, 198*sqrt(6)*y^2, 144*sqrt(6)*y*z,,,,,,,,,,,
18, 18*sqrt(10), -36*sqrt(10)*x, -108*sqrt(10)*y,   -72*sqrt(10)*z,18*sqrt(10)*x^2, 108*sqrt(10)*x*y, 72*sqrt(10)*x*z,   90*sqrt(10)*y^2, 288*sqrt(10)*y*z, 36*sqrt(10)*z^2,,,,,,,,,,
19, 18*sqrt(14), -36*sqrt(14)*x,   -36*sqrt(14)*y, -144*sqrt(14)*z,18*sqrt(14)*x^2, 36*sqrt(14)*x*y,   144*sqrt(14)*x*z, 18*sqrt(14)*y^2, 144*sqrt(14)*y*z, 180*sqrt(14)*z^2,,,,,,,,,,
