,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,6*sqrt(5),,,,,,,,,,,,,,,,,,,
3,2*sqrt(15),,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5, -6*sqrt(7),36*sqrt(7)*x,,,,,,,,,,,,,,,,,,
6, -2*sqrt(21),12*sqrt(21)*x,,,,,,,,,,,,,,,,,,
7, -8*sqrt(42),8*sqrt(42)*x, 20*sqrt(42)*y,,,,,,,,,,,,,,,,,
8, -18*sqrt(14),18*sqrt(14)*x, 30*sqrt(14)*y, 30*sqrt(14)*z,,,,,,,,,,,,,,,,
9, -2*sqrt(210),2*sqrt(210)*x, 2*sqrt(210)*y, 6*sqrt(210)*z,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11, 18, -252*x,,,504*x^2,,,,,,,,,,,,,,,
12, 6*sqrt(3), -84*sqrt(3)*x,,,168*sqrt(3)*x^2,,,,,,,,,,,,,,,
13,   24*sqrt(6), -216*sqrt(6)*x, -60*sqrt(6)*y,,192*sqrt(6)*x^2, 480*sqrt(6)*x*y,,,,,,,,,,,,,,
14, 54*sqrt(2),   -486*sqrt(2)*x, -90*sqrt(2)*y, -90*sqrt(2)*z,432*sqrt(2)*x^2, 720*sqrt(2)*x*y, 720*sqrt(2)*x*z,,,,,,,,,,,,,
15, 6*sqrt(30), -54*sqrt(30)*x,   -6*sqrt(30)*y, -18*sqrt(30)*z,48*sqrt(30)*x^2, 48*sqrt(30)*x*y, 144*sqrt(30)*x*z,,,,,,,,,,,,,
16, 90*sqrt(2), -180*sqrt(2)*x,   -540*sqrt(2)*y,,90*sqrt(2)*x^2, 540*sqrt(2)*x*y,, 630*sqrt(2)*y^2,,,,,,,,,,,,
17, 78*sqrt(6), -156*sqrt(6)*x,   -396*sqrt(6)*y, -144*sqrt(6)*z,78*sqrt(6)*x^2, 396*sqrt(6)*x*y,   144*sqrt(6)*x*z, 378*sqrt(6)*y^2, 504*sqrt(6)*y*z,,,,,,,,,,,
18, 54*sqrt(10), -108*sqrt(10)*x, -180*sqrt(10)*y,   -288*sqrt(10)*z,54*sqrt(10)*x^2, 180*sqrt(10)*x*y, 288*sqrt(10)*x*z,   126*sqrt(10)*y^2, 504*sqrt(10)*y*z, 252*sqrt(10)*z^2,,,,,,,,,,
19, 18*sqrt(14), -36*sqrt(14)*x,   -36*sqrt(14)*y, -144*sqrt(14)*z,18*sqrt(14)*x^2, 36*sqrt(14)*x*y,   144*sqrt(14)*x*z, 18*sqrt(14)*y^2, 144*sqrt(14)*y*z, 180*sqrt(14)*z^2,,,,,,,,,,
