,*1,*x,*y,*z,*x^2,*x*y,*x*z,*y^2,*y*z,*z^2,*x^3,*x^2*y,*x^2*z,*x*y^2,*x*y*z,*x*z^2,*y^3,*y^2*z,*y*z^2,*z^3
0,0,,,,,,,,,,,,,,,,,,,
1,0,,,,,,,,,,,,,,,,,,,
2,0,,,,,,,,,,,,,,,,,,,
3,4*sqrt(15),,,,,,,,,,,,,,,,,,,
4,0,,,,,,,,,,,,,,,,,,,
5,0,,,,,,,,,,,,,,,,,,,
6, -4*sqrt(21),24*sqrt(21)*x,,,,,,,,,,,,,,,,,,
7,0,,,,,,,,,,,,,,,,,,,
8, -6*sqrt(14),6*sqrt(14)*x, 30*sqrt(14)*y,,,,,,,,,,,,,,,,,
9, -6*sqrt(210),6*sqrt(210)*x, 6*sqrt(210)*y,   12*sqrt(210)*z,,,,,,,,,,,,,,,,
10,0,,,,,,,,,,,,,,,,,,,
11,0,,,,,,,,,,,,,,,,,,,
12,   12*sqrt(3), -168*sqrt(3)*x,,,336*sqrt(3)*x^2,,,,,,,,,,,,,,,
13,0,,,,,,,,,,,,,,,,,,,
14, 18*sqrt(2), -162*sqrt(2)*x,   -90*sqrt(2)*y,,144*sqrt(2)*x^2, 720*sqrt(2)*x*y,,,,,,,,,,,,,,
15,   18*sqrt(30), -162*sqrt(30)*x, -18*sqrt(30)*y, -36*sqrt(30)*z,144*sqrt(30)*x^2, 144*sqrt(30)*x*y,   288*sqrt(30)*x*z,,,,,,,,,,,,,
16,0,,,,,,,,,,,,,,,,,,,
17, 12*sqrt(6), -24*sqrt(6)*x, -144*sqrt(6)*y,,12*sqrt(6)*x^2, 144*sqrt(6)*x*y,,   252*sqrt(6)*y^2,,,,,,,,,,,,
18,   36*sqrt(10), -72*sqrt(10)*x, -288*sqrt(10)*y, -72*sqrt(10)*z,36*sqrt(10)*x^2, 288*sqrt(10)*x*y, 72*sqrt(10)*x*z,   252*sqrt(10)*y^2, 504*sqrt(10)*y*z,,,,,,,,,,,
19, 72*sqrt(14),   -144*sqrt(14)*x, -144*sqrt(14)*y, -360*sqrt(14)*z,72*sqrt(14)*x^2, 144*sqrt(14)*x*y, 360*sqrt(14)*x*z, 72*sqrt(14)*y^2, 360*sqrt(14)*y*z,   360*sqrt(14)*z^2,,,,,,,,,,
